Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-1,1s_Slater-type_function.html,3316,RELEVANT,0.07207478890229192,0.0,0.006006232408524327,0.0,0.0,0.024694123729105635,0.07207478890229192
NTCIR12-MathWiki-1,Adiabatic_theorem.html,12329,RELEVANT,0.009733149484954172,0.0,0.002433287371238543,0.0,0.0,0.00538026874307189,0.009733149484954172
NTCIR12-MathWiki-1,Adjoint_equation.html,323,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Arakawa–Kaneko_zeta_function.html,1229,RELEVANT,0.008136696501220505,0.0,0.0020341741253051262,0.0,0.0,0.0040683482506102524,0.008136696501220505
NTCIR12-MathWiki-1,Bring_radical.html,22353,RELEVANT,0.0009842079362949044,0.0,0.00016403465604915074,0.0,0.0,0.0003668411398917371,0.0006710508656556167
NTCIR12-MathWiki-1,Chowla–Mordell_theorem.html,223,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Cubic_function.html,18160,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Decoherence-free_subspaces.html,7270,RELEVANT,0.008940852819807428,0.0,0.0006386323442719592,0.0,0.0,0.0032226370603261937,0.008940852819807428
NTCIR12-MathWiki-1,Dimensionless_quantity.html,10751,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Dirichlet_eta_function.html,11534,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Electrofiltration.html,1013,PARTIALLY RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Equatorial_coordinate_system.html,2346,RELEVANT,0.07544757033248081,0.0,0.010778224333211545,0.0,0.0,0.034917590224495594,0.07544757033248081
NTCIR12-MathWiki-1,Euler–Maclaurin_formula.html,10415,NOT RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTCIR12-MathWiki-1,Factorial.html,12965,RELEVANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
