Query,Document,Doc-Length,Ranking,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-1,1s_Slater-type_function.html,3316,RELEVANT,0.3721351025331725,0.00030156815440289503,0.03101125854443104,0.00015078407720144752,0.00030156815440289503,0.1453730828881613,0.3721351025331725
NTCIR12-MathWiki-1,Adiabatic_theorem.html,12329,RELEVANT,0.0575066915402709,8.110957904128478e-05,0.014376672885067726,4.055478952064239e-05,8.110957904128478e-05,0.034498607618893125,0.0575066915402709
NTCIR12-MathWiki-1,Adjoint_equation.html,323,RELEVANT,0.0030959752321981426,0.0030959752321981426,0.0015479876160990713,0.0015479876160990713,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426
NTCIR12-MathWiki-1,Alternatives_to_general_relativity.html,23759,RELEVANT,0.4650869144324256,0.00021044656761648217,0.0775144857387376,0.00010522328380824109,0.00021044656761648217,0.15625891475043377,0.2444547329433057
NTCIR12-MathWiki-1,Arakawa–Kaneko_zeta_function.html,1229,RELEVANT,0.03173311635475997,0.0008136696501220504,0.007933279088689993,0.0004068348250610252,0.0008136696501220504,0.015866558177379985,0.03173311635475997
NTCIR12-MathWiki-1,Bring_radical.html,22353,RELEVANT,0.14007068402451572,0.13237596743166466,0.020010097717787962,0.044125322477221555,4.473672437704111e-05,0.07475913340897906,0.14007068402451572
NTCIR12-MathWiki-1,Chowla–Mordell_theorem.html,223,RELEVANT,0.16143497757847533,0.16143497757847533,0.053811659192825115,0.053811659192825115,0.004484304932735426,0.10762331838565023,0.16143497757847533
NTCIR12-MathWiki-1,Clifford_analysis.html,6694,RELEVANT,0.07678518075888856,0.0032865252464893933,0.008531686750987618,0.0016432626232446967,0.0032865252464893933,0.031852737111177504,0.07678518075888856
NTCIR12-MathWiki-1,Cubic_function.html,18160,RELEVANT,5.506607929515419e-05,5.506607929515419e-05,2.7533039647577094e-05,2.7533039647577094e-05,5.506607929515419e-05,5.506607929515419e-05,5.506607929515419e-05
NTCIR12-MathWiki-1,Decoherence-free_subspaces.html,7270,RELEVANT,0.02874828060522696,0.0001375515818431912,0.0020534486146590687,6.87757909215956e-05,0.0001375515818431912,0.010821660163377593,0.02874828060522696
NTCIR12-MathWiki-1,Dimensionless_quantity.html,10751,RELEVANT,0.10938517347223514,0.10938517347223514,0.03646172449074505,0.03646172449074505,9.301460329271696e-05,0.0729234489814901,0.10938517347223514
NTCIR12-MathWiki-1,Dirichlet_eta_function.html,11534,RELEVANT,8.670019074041963e-05,8.670019074041963e-05,4.3350095370209814e-05,4.3350095370209814e-05,8.670019074041963e-05,8.670019074041963e-05,8.670019074041963e-05
NTCIR12-MathWiki-1,Electrofiltration.html,1013,PARTIALLY RELEVANT,0.0009871668311944718,0.0009871668311944718,0.0004935834155972359,0.0004935834155972359,0.0009871668311944718,0.0009871668311944718,0.0009871668311944718
NTCIR12-MathWiki-1,Equatorial_coordinate_system.html,2346,RELEVANT,0.43861892583120204,0.21184995737425405,0.043861892583120204,0.07061665245808468,0.00042625745950554135,0.2553540520292438,0.43861892583120204
NTCIR12-MathWiki-1,Euler–Maclaurin_formula.html,10415,NOT RELEVANT,9.601536245799327e-05,9.601536245799327e-05,4.800768122899664e-05,4.800768122899664e-05,9.601536245799327e-05,9.601536245799327e-05,9.601536245799327e-05
NTCIR12-MathWiki-1,Factorial.html,12965,RELEVANT,0.1595063632857694,0.1595063632857694,0.05316878776192313,0.05316878776192313,7.713073659853452e-05,0.10633757552384626,0.1595063632857694
NTCIR12-MathWiki-1,Froude_number.html,3855,PARTIALLY RELEVANT,0.005188067444876783,0.00025940337224383917,0.0012970168612191958,0.00012970168612191958,0.00025940337224383917,0.0018158236057068742,0.0036316472114137485
NTCIR12-MathWiki-1,Greek_numerals.html,2327,RELEVANT,0.5891706059303825,0.0923936398796734,0.058917060593038244,0.0461968199398367,0.0923936398796734,0.21336484744305972,0.4336055006446068
NTCIR12-MathWiki-1,Green's_function_(many-body_theory).html,16451,RELEVANT,0.1903227767308978,6.078657832350617e-05,0.03172046278848297,3.0393289161753083e-05,6.078657832350617e-05,0.047717463983952345,0.18983648410430976
NTCIR12-MathWiki-1,Hamiltonian_constraint.html,9198,PARTIALLY RELEVANT,0.00010871928680147858,0.00010871928680147858,5.435964340073929e-05,5.435964340073929e-05,0.00010871928680147858,0.00010871928680147858,0.00010871928680147858
NTCIR12-MathWiki-1,Hamiltonian_constraint_of_LQG.html,18870,PARTIALLY RELEVANT,5.299417064122947e-05,5.299417064122947e-05,2.6497085320614733e-05,2.6497085320614733e-05,5.299417064122947e-05,5.299417064122947e-05,5.299417064122947e-05
NTCIR12-MathWiki-1,Harmonic_oscillator.html,10619,RELEVANT,0.08371786420566908,9.417082587814295e-05,0.011959694886524154,4.7085412939071474e-05,9.417082587814295e-05,0.02426782182879744,0.06836801958753179
NTCIR12-MathWiki-1,Hodge_dual.html,12478,RELEVANT,0.24779612117326494,0.14265106587594165,0.015487257573329059,0.04755035529198055,8.014104824491104e-05,0.11769172760451838,0.24779612117326494
NTCIR12-MathWiki-1,Holomorphic_functional_calculus.html,10727,RELEVANT,0.3389577701127995,0.004288244616388552,0.008473944252819988,0.002144122308194276,0.004288244616388552,0.08449562928914099,0.23566700848326652
NTCIR12-MathWiki-1,Jerk_(physics).html,4005,RELEVANT,0.40724094881398254,0.40724094881398254,0.13574698293799417,0.13574698293799417,0.00024968789013732833,0.27149396587598834,0.40724094881398254
NTCIR12-MathWiki-1,Joukowsky_transform.html,3351,RELEVANT,0.43807818561623396,0.0002984183825723665,0.016849160985239767,0.00014920919128618324,0.0002984183825723665,0.2033820750024868,0.4377797672336616
NTCIR12-MathWiki-1,Kummer_ring.html,495,RELEVANT,0.25252525252525254,0.012121212121212121,0.06313131313131314,0.006060606060606061,0.012121212121212121,0.0882154882154882,0.21212121212121213
NTCIR12-MathWiki-1,Langmuir_probe.html,12867,PARTIALLY RELEVANT,0.010414237973109504,7.771819382917541e-05,0.0014877482818727863,3.8859096914587705e-05,7.771819382917541e-05,0.0033613118831118363,0.01033651977928033
NTCIR12-MathWiki-1,Lattice_problem.html,3743,RELEVANT,0.013091103393000268,0.0002671653753673524,0.003272775848250067,0.0001335826876836762,0.0002671653753673524,0.006545551696500134,0.013091103393000268
NTCIR12-MathWiki-1,Least_squares_support_vector_machine.html,11687,PARTIALLY RELEVANT,0.30580987421921796,8.556515786771627e-05,0.023523836478401377,4.278257893385813e-05,8.556515786771627e-05,0.11886901875778405,0.252417215709763
NTCIR12-MathWiki-1,Levi-Civita_symbol.html,15247,NOT RELEVANT,0.4444152948120942,0.019872761854791105,0.00987589544026876,0.009936380927395553,0.019872761854791105,0.29380122657488694,0.4245425329573031
NTCIR12-MathWiki-1,Light_front_quantization.html,14671,PARTIALLY RELEVANT,0.5155749437666144,0.5155749437666144,0.1718583145888715,0.1718583145888715,6.816167950378297e-05,0.343716629177743,0.5155749437666144
NTCIR12-MathWiki-1,List_of_common_physics_notations.html,1180,RELEVANT,0.8008474576271186,0.06016949152542373,0.16016949152542373,0.020056497175141245,0.000847457627118644,0.2460048426150121,0.6338983050847458
NTCIR12-MathWiki-1,Mahler_measure.html,4817,PARTIALLY RELEVANT,0.00020759809009757111,0.00020759809009757111,0.00010379904504878556,0.00010379904504878556,0.00020759809009757111,0.00020759809009757111,0.00020759809009757111
NTCIR12-MathWiki-1,Maxwell's_equations_in_curved_spacetime.html,19084,PARTIALLY RELEVANT,0.2179312513099979,0.005449591280653951,0.014528750087333193,0.0027247956403269754,0.005449591280653951,0.08737686019702369,0.2179312513099979
NTCIR12-MathWiki-1,Mild-slope_equation.html,10571,RELEVANT,0.19137262321445464,9.459842966606754e-05,0.019137262321445466,4.729921483303377e-05,9.459842966606754e-05,0.058603727178128846,0.1912780247847886
NTCIR12-MathWiki-1,Minimum_spanning_tree.html,3024,RELEVANT,0.3101851851851852,0.3101851851851852,0.10339506172839506,0.10339506172839506,0.00033068783068783067,0.20679012345679013,0.3101851851851852
NTCIR12-MathWiki-1,Monin–Obukhov_similarity_theory.html,3328,RELEVANT,0.24308894230769232,0.00030048076923076925,0.014299349547511312,0.00015024038461538462,0.00030048076923076925,0.10287710336538461,0.24278846153846154
NTCIR12-MathWiki-1,Motion_simulator.html,5555,PARTIALLY RELEVANT,0.0039603960396039604,0.00018001800180018,0.0009900990099009901,9.000900090009e-05,0.00018001800180018,0.0019801980198019802,0.0039603960396039604
NTCIR12-MathWiki-1,Multiple_zeta_function.html,22181,PARTIALLY RELEVANT,4.5083630133898384e-05,4.5083630133898384e-05,2.2541815066949192e-05,2.2541815066949192e-05,4.5083630133898384e-05,4.5083630133898384e-05,4.5083630133898384e-05
NTCIR12-MathWiki-1,Nahm_equations.html,1867,PARTIALLY RELEVANT,0.26941617568291376,0.2522763792179968,0.06735404392072844,0.1261381896089984,0.2522763792179968,0.2601321192644171,0.26941617568291376
NTCIR12-MathWiki-1,Natural_logarithm_of_2.html,8461,RELEVANT,0.00011818933932159319,0.00011818933932159319,5.9094669660796596e-05,5.9094669660796596e-05,0.00011818933932159319,0.00011818933932159319,0.00011818933932159319
NTCIR12-MathWiki-1,Oblate_spheroidal_coordinates.html,9788,RELEVANT,0.15355537392725788,0.0001021659174499387,0.009032669054544579,5.108295872496935e-05,0.0001021659174499387,0.07512941016210326,0.15355537392725788
NTCIR12-MathWiki-1,P-adic_quantum_mechanics.html,5497,RELEVANT,0.00018191740949608878,0.00018191740949608878,9.095870474804439e-05,9.095870474804439e-05,0.00018191740949608878,0.00018191740949608878,0.00018191740949608878
NTCIR12-MathWiki-1,Parameterized_post-Newtonian_formalism.html,8969,RELEVANT,0.035678447987512546,0.0001114951499609767,0.008919611996878136,5.574757498048835e-05,0.0001114951499609767,0.023228156241870145,0.035678447987512546
NTCIR12-MathWiki-1,Phase-locked_loop.html,10144,PARTIALLY RELEVANT,0.4334582018927445,0.19775236593059936,0.08669164037854889,0.06591745531019978,9.858044164037855e-05,0.23670396293375395,0.4334582018927445
NTCIR12-MathWiki-1,Propellant_mass_fraction.html,934,RELEVANT,0.0010706638115631692,0.0010706638115631692,0.0005353319057815846,0.0005353319057815846,0.0010706638115631692,0.0010706638115631692,0.0010706638115631692
NTCIR12-MathWiki-1,Quantum_heat_engines_and_refrigerators.html,6363,PARTIALLY RELEVANT,0.012887002986012887,0.00015715857300015716,0.002577400597202577,7.857928650007858e-05,0.00015715857300015716,0.006417308397506418,0.012887002986012887
NTCIR12-MathWiki-1,RLC_circuit.html,11096,RELEVANT,0.09580028839221341,0.08714852198990627,0.011975036049026676,0.029049507329968756,9.012256669069935e-05,0.05414649637793113,0.09580028839221341
NTCIR12-MathWiki-1,Routhian_mechanics.html,23703,RELEVANT,0.06868328903514323,4.218875247858921e-05,0.0034341644517571616,2.1094376239294604e-05,4.218875247858921e-05,0.024607908281652113,0.06319875121292663
NTCIR12-MathWiki-1,Sallen–Key_topology.html,9232,RELEVANT,0.2205372616984402,0.00010831889081455805,0.04410745233968804,5.4159445407279026e-05,0.00010831889081455805,0.1014948006932409,0.2205372616984402
NTCIR12-MathWiki-1,Schwarz–Christoffel_mapping.html,1576,RELEVANT,0.3096446700507614,0.0006345177664974619,0.020642978003384094,0.00031725888324873094,0.0006345177664974619,0.12687914877001172,0.29314720812182743
NTCIR12-MathWiki-1,Sea_state.html,2012,RELEVANT,0.0004970178926441351,0.0004970178926441351,0.00024850894632206757,0.00024850894632206757,0.0004970178926441351,0.0004970178926441351,0.0004970178926441351
NTCIR12-MathWiki-1,Self-healing_hydrogels.html,2036,RELEVANT,0.0004911591355599214,0.0004911591355599214,0.0002455795677799607,0.0002455795677799607,0.0004911591355599214,0.0004911591355599214,0.0004911591355599214
NTCIR12-MathWiki-1,Single-stage-to-orbit.html,4250,RELEVANT,0.128,0.00023529411764705883,0.04266666666666667,0.00011764705882352942,0.00023529411764705883,0.06411764705882353,0.128
NTCIR12-MathWiki-1,Slater-type_orbital.html,5910,RELEVANT,0.3560067681895093,0.00016920473773265651,0.039556307576612146,8.460236886632826e-05,0.00016920473773265651,0.1075507614213198,0.3560067681895093
NTCIR12-MathWiki-1,Special_unitary_group.html,10290,PARTIALLY RELEVANT,9.718172983479106e-05,9.718172983479106e-05,4.859086491739553e-05,4.859086491739553e-05,9.718172983479106e-05,9.718172983479106e-05,9.718172983479106e-05
NTCIR12-MathWiki-1,Speed_of_sound.html,7132,PARTIALLY RELEVANT,0.08300616937745373,0.08286595625350533,0.02075154234436343,0.02762198541783511,0.00014021312394840157,0.04977565900168256,0.08300616937745373
NTCIR12-MathWiki-1,Stability_derivatives.html,4526,RELEVANT,0.022315510384445427,0.0002209456473707468,0.0037192517307409042,0.0001104728236853734,0.0002209456473707468,0.01171011931064958,0.022315510384445427
NTCIR12-MathWiki-1,STAR_model.html,2247,RELEVANT,0.205607476635514,0.0004450378282153983,0.0514018691588785,0.00022251891410769915,0.0004450378282153983,0.102803738317757,0.205607476635514
NTCIR12-MathWiki-1,Stochastic_portfolio_theory.html,14522,RELEVANT,0.06293898911995593,6.886103842445945e-05,0.005721726283632357,3.443051921222972e-05,6.886103842445945e-05,0.020013313134095396,0.06293898911995593
NTCIR12-MathWiki-1,Transmissibility_(structural_dynamics).html,229,RELEVANT,0.004366812227074236,0.004366812227074236,0.002183406113537118,0.002183406113537118,0.004366812227074236,0.004366812227074236,0.004366812227074236
NTCIR12-MathWiki-1,Trigonometric_functions.html,17822,PARTIALLY RELEVANT,0.2091796655818651,0.07075524632476714,0.03486327759697752,0.03537762316238357,0.07075524632476714,0.1454756293719373,0.2091796655818651
NTCIR12-MathWiki-1,Trigonometry_in_Galois_fields.html,5695,RELEVANT,0.5450395083406497,0.001755926251097454,0.0201866484570611,0.000585308750365818,0.0001755926251097454,0.21951918607653775,0.5450395083406497
NTCIR12-MathWiki-1,Vibration.html,9781,RELEVANT,0.00010223903486351089,0.00010223903486351089,5.1119517431755445e-05,5.1119517431755445e-05,0.00010223903486351089,0.00010223903486351089,0.00010223903486351089
NTCIR12-MathWiki-2,Absolute_value.html,6056,PARTIALLY RELEVANT,0.4962021136063408,0.00297225891677675,0.011277320763780473,0.001486129458388375,0.00297225891677675,0.1733062842045669,0.4962021136063408
NTCIR12-MathWiki-2,Additive_category.html,1354,PARTIALLY RELEVANT,0.3212703101920236,0.09084194977843427,0.04589575859886052,0.030280649926144758,0.0007385524372230429,0.16311458113526062,0.3212703101920236
NTCIR12-MathWiki-2,Associative_property.html,5807,RELEVANT,0.3201308765283279,0.2641639400723265,0.053355146088054646,0.06604098501808163,0.00017220595832615808,0.14862809253200163,0.2825899776132254
NTCIR12-MathWiki-2,Axiom_of_extensionality.html,1009,PARTIALLY RELEVANT,0.4499504459861249,0.06342913776015857,0.02999669639907499,0.015857284440039643,0.007928642220019821,0.18036373933301583,0.4499504459861249
NTCIR12-MathWiki-2,Banach_bundle_(non-commutative_geometry).html,794,PARTIALLY RELEVANT,0.3249370277078086,0.24811083123425692,0.032493702770780855,0.08270361041141898,0.0012594458438287153,0.14128018965772707,0.3249370277078086
NTCIR12-MathWiki-2,BL_(logic).html,1612,RELEVANT,0.3709677419354839,0.02791563275434243,0.021821631878557877,0.009305210918114143,0.0006203473945409429,0.11163112102270943,0.3709677419354839
NTCIR12-MathWiki-2,Bounded_variation.html,21003,PARTIALLY RELEVANT,0.39865733466647624,0.0016664286054373185,0.012458041708327382,0.0008332143027186593,0.0016664286054373185,0.16499230268691775,0.39865733466647624
NTCIR12-MathWiki-2,Category_of_topological_vector_spaces.html,1010,NOT RELEVANT,0.2871287128712871,0.15544554455445544,0.07178217821782178,0.051815181518151815,0.0009900990099009901,0.17683168316831682,0.2871287128712871
NTCIR12-MathWiki-2,Characterizations_of_the_category_of_topological_spaces.html,1574,PARTIALLY RELEVANT,0.5495552731893265,0.21982210927573062,0.054955527318932655,0.07327403642524354,0.012706480304955527,0.2789948735924287,0.536848792884371
NTCIR12-MathWiki-2,Cheeger_bound.html,948,NOT RELEVANT,0.2109704641350211,0.0010548523206751054,0.03516174402250352,0.0005274261603375527,0.0010548523206751054,0.06777426160337553,0.11708860759493671
